"distance_km","timestamp_utc","latitude","longitude","frame"
"0","2026-09-02T14:55:29-06:00","38.8005","-105.19983","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3848.03N/10511.99Wj360/000/A=009133BAKSTAAJ-J 14.37V"
"0","2026-09-02T14:55:58-06:00","38.8005","-105.19983","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3848.03N/10511.99Wj198/001/A=009143BAKSTAAJ-J 14.36V"
"0","2026-09-03T18:17:36-06:00","38.8005","-105.19983","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3848.03N/10511.99Wj137/000/A=009150BAKSTAAJ-J 14.30V"
"0.1","2026-09-02T14:56:29-06:00","38.80017","-105.20033","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3848.01N/10512.02Wj223/010/A=009156BAKSTAAJ-J 14.39V"
"0.1","2026-09-02T15:35:15-06:00","38.80033","-105.19983","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3848.02N/10511.99Wj353/004/A=009186BAKSTAAJ-J 14.30V"
"0.1","2026-09-03T18:18:06-06:00","38.80033","-105.19983","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3848.02N/10511.99Wj196/001/A=009159BAKSTAAJ-J 14.37V"
"0.1","2026-09-03T18:18:36-06:00","38.80017","-105.20017","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3848.01N/10512.01Wj246/003/A=009163BAKSTAAJ-J 14.39V"
"0.1","2026-09-03T21:20:21-06:00","38.8","-105.2015","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3848.00N/10512.09Wj107/017/A=009166N0JCG 444.440 MHz 14.26V"
"0.1","2026-09-03T21:20:51-06:00","38.80033","-105.2","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3848.02N/10512.00Wj015/002/A=009159N0JCG 444.440 MHz 14.17V"
"0.2","2026-09-02T14:56:59-06:00","38.79967","-105.20133","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.98N/10512.08Wj091/018/A=009127BAKSTAAJ-J 14.50V"
"0.2","2026-09-02T15:34:15-06:00","38.799","-105.20017","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.94N/10512.01Wj285/019/A=009064BAKSTAAJ-J 14.50V"
"0.2","2026-09-02T15:34:45-06:00","38.80017","-105.20183","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3848.01N/10512.11Wj069/013/A=009143BAKSTAAJ-J 14.45V"
"0.2","2026-09-03T18:19:06-06:00","38.79967","-105.20183","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.98N/10512.11Wj095/010/A=009146BAKSTAAJ-J 14.44V"
"0.2","2026-09-03T21:19:51-06:00","38.799","-105.2005","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.94N/10512.03Wj292/022/A=009117N0JCG 444.440 MHz 14.30V"
"0.3","2026-09-02T14:57:29-06:00","38.79833","-105.2","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.90N/10512.00Wj253/014/A=009143BAKSTAAJ-J 14.44V"
"0.3","2026-09-02T15:33:45-06:00","38.79767","-105.19967","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.86N/10511.98Wj337/018/A=009219BAKSTAAJ-J 14.50V"
"0.3","2026-09-03T18:19:36-06:00","38.7985","-105.2","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.91N/10512.00Wj256/017/A=009150BAKSTAAJ-J 14.45V"
"0.3","2026-09-03T21:19:21-06:00","38.79767","-105.19983","N0JCG-8>APN000,WIDE1-1,WIDE2-1:=3847.86N/10511.99Wj293/014/A=009182N0JCG 444.440 MHz 14.25V"
